label,youtube_id,time_start,time_end,split
brushing floor,--5Tg3gW4s4,8,18,train
letting go of balloon,--h55t9J0Xo,7,17,train
cutting cake,--kyWqclQ24,256,266,train
sausage making,--pe5C6kwVQ,0,10,train
entering church,-01mKR1_Yoo,0,10,train
passing American football (in game),-0ahlURSzu8,53,63,train
playing mahjong,-0jgbzOKS6c,1691,1701,train
jumping sofa,-12udL182q4,44,54,train
jumping sofa,-14xu6_7b68,25,35,train
shooting off fireworks,-196qBU0-U8,0,10,train
squeezing orange,-1CKCN5Ymv0,106,116,train
ski ballet,-1FG1InShd8,23,33,train
square dancing,-1TmA7jvoBQ,136,146,train
tossing salad,-2GK6A52Cnc,210,220,train
pouring milk,-2gUy2nHjDQ,3,13,train
squeezing orange,-3CGqhQXQTo,7,17,train
card stacking,-3Xt-82JfPQ,301,311,train
saluting,-3tqkrTUT4E,74,84,train
treating wood,-4F4dVnMcBw,2,12,train
filling eyebrows,-4GFMsPDCKE,79,89,train
pouring milk,-4TGdz3-kU0,19,29,train
filling cake,-4kGm1x2nPs,0,10,train
doing sudoku,-4q15za8z7k,170,180,train
doing sudoku,-4tbxG51Kv4,444,454,train
ski ballet,-4tsX20dPX0,114,124,train
stacking dice,-5D6ypXdUfY,0,10,train
swimming with sharks,-5Eu0skK0f4,0,10,train
scrapbooking,-5KOEK42_is,20,30,train
pouring wine,-5ZcFG-gAys,27,37,train
curling eyelashes,-6Jd_Y3kqJU,164,174,train
delivering mail,-6LrTf0nYCc,0,10,train
saluting,-6M6R9pH9U8,26,36,train
opening coconuts,-6ZX7W-U-XE,150,160,train
chiseling stone,-6serjeIHyE,3,13,train
twiddling fingers,-6smYhRgWsw,0,10,train
steer roping,-6uDYYvaxqc,0,10,train
bending back,-77CumjuStU,63,73,train
threading needle,-79inICxZTU,18,28,train
putting on sari,-7hCqj7p3XM,117,127,train
pulling rope (game),-7ygr_qL2JA,0,10,train
bouncing ball (not juggling),-8CAAyAsLpU,56,66,train
tossing salad,-8D8NWcrYAw,147,157,train
filling eyebrows,-8k9Q8diDjY,0,10,train
passing American football (in game),-9PsNYYrvr0,0,10,train
stacking dice,-9vIv2nKH08,43,53,train
spinning plates,-A055-kwILo,8,18,train
swimming with sharks,-AFZ1F1SzUk,286,296,train
eating nachos,-AMzlWCkraA,556,566,train
stacking dice,-AePIbVrMCo,29,39,train
testifying,-C5PMPIdG_Y,83,93,train
decoupage,-C5SxoFuJL0,349,359,train
squeezing orange,-CIdZpi-CWI,0,10,train
skiing mono,-CaMp_7fHT0,0,10,train
adjusting glasses,-ComQ9_lQ8s,18,28,train
playing blackjack,-CxjQiMFhlM,102,112,train
scrubbing face,-DCpTj8Wq18,230,240,train
gospel singing in church,-DGQt5uVp_E,205,215,train
saluting,-E05a9cmqZU,5,15,train
playing piccolo,-FJtIWsYApU,10,20,train
baby waking up,-FLP7leRSBs,0,10,train
baby waking up,-FizSPqas0k,0,10,train
pulling rope (game),-Fv_JjpnzmQ,0,10,train
entering church,-GDLByptfAA,68,78,train
pulling rope (game),-GK6Jb7Dyng,0,10,train
playing shuffleboard,-GbHH-w1Ux8,11,21,train
sausage making,-GvN2hhcQ7s,226,236,train
curling eyelashes,-H5H8-LH0Q4,21,31,train
pulling rope (game),-I7Fu7cnYqc,42,52,train
pouring milk,-IllcsdaVA8,0,10,train
looking in mirror,-InQsvkEm48,0,10,train
playing rounders,-IpiCdqO-4s,24,34,train
treating wood,-J4Q8d1SQoA,98,108,train
ski ballet,-JBFdJcd4a8,0,10,train
poaching eggs,-JNlotMuXNQ,213,223,train
eating nachos,-Jq4zbqB2uY,182,192,train
pulling rope (game),-JyoiADCZK8,41,51,train
putting on sari,-Kchtr1Yme0,104,114,train
shredding paper,-KnAkkc_gAs,127,137,train
jumping sofa,-LCNovW-pfw,6,16,train
swimming with sharks,-LOTwbiauXo,37,47,train
scrubbing face,-LqoixWusVk,26,36,train
cutting orange,-M7S2MSU-qw,20,30,train
squeezing orange,-M7S2MSU-qw,54,64,train
steering car,-MDDq9mOtvM,124,134,train
scrubbing face,-MOGrl17mMQ,267,277,train
steering car,-McESe63i9Y,16,26,train
herding cattle,-MkkQIEggFA,136,146,train
blending fruit,-MqUl5JuW3I,71,81,train
playing shuffleboard,-N3V7Vuh7us,0,10,train
seasoning food,-NBz6wkeJ80,10,20,train
eating nachos,-NZz14fwEao,308,318,train
carving marble,-ON9oevFwJg,0,10,train
pouring milk,-ONdhtCaw9U,9,19,train
stacking dice,-OVlp2GDOkA,226,236,train
cutting cake,-OfaRycC4H0,108,118,train
playing road hockey,-Pw_taJd86I,0,10,train
carving marble,-QHosySSJFs,0,10,train
entering church,-QR_y5bjVqg,34,44,train
letting go of balloon,-QrBsdDlObQ,0,10,train
mixing colours,-SoQTxkhwNY,66,76,train
jumping sofa,-SsQGiEilYs,0,10,train
punching person (boxing),-U51xhYAQoc,0,10,train
playing shuffleboard,-UHRYSqCKZQ,0,10,train
uncorking champagne,-ULoLz4jp54,21,31,train
herding cattle,-Uc1WAIaKD4,49,59,train
gospel singing in church,-UcABQ6tTnY,0,10,train
pulling rope (game),-VUDoKxEg9c,8,18,train
mixing colours,-VUaLTLesdY,89,99,train
letting go of balloon,-VVmdudvLKY,59,69,train
surveying,-VyNAZXHcic,0,10,train
treating wood,-WTdL4s60XI,145,155,train
gospel singing in church,-WZxkDWGTnA,0,10,train
milking goat,-WedbtD7LSo,0,10,train
listening with headphones,-XD2uE1TQus,25,35,train
metal detecting,-XGCQ2PRVF8,157,167,train
shopping,-XXLTFLaDhs,297,307,train
brushing floor,-YOVjmz5G_c,55,65,train
squeezing orange,-YW1JXtoWRw,0,10,train
adjusting glasses,-YvnQWQdLlk,324,334,train
shoot dance,-Z1I9JSelF8,0,10,train
sieving,-Z6QJY1W2Lc,0,10,train
stacking dice,-ZDZsSVJ2gI,32,42,train
scrubbing face,-ZEG5QrgyxI,296,306,train
playing piccolo,-ZV5QCt88IY,0,10,train
baby waking up,-ZnlEmXjRwc,6,16,train
playing shuffleboard,-_GUptoOq2E,19,29,train
pouring milk,-_OJDqL3YXg,34,44,train
making slime,-aXlBbZ7_eA,289,299,train
pulling espresso shot,-amodF-GdkA,17,27,train
putting on sari,-b-0Z4TLf2c,42,52,train
playing mahjong,-bCCImoJUz0,80,90,train
milking goat,-bIrZRRkbJM,46,56,train
steer roping,-blwPbeo10U,0,10,train
playing rounders,-c2-7qX8B4I,0,10,train
calculating,-cRiy55FMB8,131,141,train
shoot dance,-diip-mQrmE,0,10,train
playing piccolo,-dnqS_B7N-k,20,30,train
skiing mono,-e3CQpFSb1w,114,124,train
putting on sari,-ebSBDv_cKQ,0,10,train
stacking dice,-f-ibu6p90E,17,27,train
pouring milk,-f6K1o3NONI,0,10,train
brushing floor,-fTHeQG3swY,256,266,train
pulling rope (game),-fe6pFoUbZQ,0,10,train
blending fruit,-frpIwEAkJ0,13,23,train
filling cake,-gZNL1W9AEU,906,916,train
assembling bicycle,-gzWIYjgcJA,9,19,train
brushing floor,-gzYn-7lziI,646,656,train
opening coconuts,-h9Qcp53Lo8,38,48,train
poaching eggs,-hXmBu2Arog,178,188,train
playing nose flute,-hgQ9kEn5H4,0,10,train
laying stone,-hlBgPszqHk,59,69,train
playing mahjong,-iMV84nkP-w,0,10,train
pouring wine,-ieDpwcCMm8,56,66,train
seasoning food,-jW3CgqMTow,5,15,train
decoupage,-jXAMe0ittc,1040,1050,train
coloring in,-jl9OKNkRuc,18,28,train
scrubbing face,-jzCOgDk-Xg,25,35,train
putting wallpaper on wall,-k5b99twbi4,28,38,train
squeezing orange,-k9kN82seDg,266,276,train
vacuuming car,-kaarwYyDTo,15,25,train
entering church,-kcRq_tLYDw,10,20,train
pouring wine,-kd-05j1t8I,11,21,train
baby waking up,-kwd8WSFbH8,6,16,train
coloring in,-l7zPY2bTSI,0,10,train
swimming with sharks,-lBWSLcewRs,0,10,train
cutting cake,-ljExq3HgjQ,0,10,train
tossing salad,-m3BkfcTsX0,937,947,train
entering church,-m8P3xxHRTM,137,147,train
tossing salad,-mArtWa7i78,50,60,train
scrapbooking,-mFnTS3-_B8,0,10,train
steer roping,-mGkbjruhKk,0,10,train
filling cake,-mOk3mBgFho,342,352,train
blending fruit,-n8n8XxOrpw,24,34,train
putting on sari,-ns0jJUj4VM,0,10,train
photobombing,-nuGsU7DWOo,0,10,train
cutting cake,-ny7g3MwjIE,16,26,train
pulling rope (game),-oMvh48OTWI,0,10,train
shooting off fireworks,-oWYwLmJHZE,1,11,train
picking blueberries,-oWxwRzAGNc,0,10,train
playing piccolo,-ok9xI6Cg6s,0,10,train
being in zero gravity,-osckFkmxyM,49,59,train
shredding paper,-oxENhTVjls,98,108,train
base jumping,-pFNjSyQhLY,20,30,train
answering questions,-pSmStVvBqI,54,64,train
adjusting glasses,-pt0arTOFHA,0,10,train
lighting candle,-qBTHDqyTHU,0,10,train
delivering mail,-qWdggan_x4,8,18,train
picking blueberries,-r0sNxy0fuk,0,10,train
blending fruit,-rh4duocHnA,0,10,train
eating nachos,-rjv2iUX1_o,46,56,train
looking in mirror,-sTkhCtZK80,15,25,train
threading needle,-sXSDeAV9ZY,68,78,train
entering church,-sYO1UO5Q0E,47,57,train
chasing,-sa8aM7hO_M,30,40,train
steering car,-scpkZFshMA,0,10,train
assembling bicycle,-sp4tj05yRA,56,66,train
skiing mono,-svjqZKert4,0,10,train
pouring milk,-t81dV9aEBQ,208,218,train
milking goat,-tKoDtkmgkY,0,10,train
passing American football (in game),-u7GMHPatmo,0,10,train
decoupage,-uZSWB5IwsQ,216,226,train
playing with trains,-vKBuj0i9mc,33,43,train
pulling rope (game),-vYljGJ6NNs,0,10,train
doing sudoku,-w8Wk6rK8Zk,260,270,train
stacking dice,-wfto7w500E,202,212,train
filling cake,-yAfv-meosM,338,348,train
playing rounders,-yWJUCwBDac,0,10,train
pulling rope (game),-ylqufkOrEk,0,10,train
playing shuffleboard,-yyzxjhxAFY,126,136,train
grinding meat,-zAz7WMhCX8,219,229,train
bending back,-zypIZwvyEk,29,39,train
bending back,0-KmJJDKvW8,126,136,train
adjusting glasses,0-hlDszDrtQ,100,110,train
playing road hockey,0-lgHIBLwdQ,192,202,train
opening coconuts,00WM1oqxMSs,208,218,train
applying cream,01NobH80DvM,0,10,train
stacking dice,01O9H6h7HUQ,40,50,train
coloring in,01i2A5VrRsA,0,10,train
shooting off fireworks,01pOBJyOyqI,0,10,train
testifying,029xjquErOE,13,23,train
brushing floor,02SjI3kUWr0,13,23,train
vacuuming car,02T7WdAbxGw,77,87,train
filling eyebrows,03tluvaLPIM,0,10,train
jumping sofa,046OhofwgHs,0,10,train
taking photo,04bwxxSauhg,3,13,train
shoot dance,04lhG9ARTVY,11,21,train
spinning plates,04wVJapoltE,0,10,train
saluting,04yDatQNDsk,10,20,train
entering church,05HU9RgPeD8,0,10,train
vacuuming car,05cw-AaIVzQ,0,10,train
playing road hockey,05gMoODMX9k,306,316,train
dealing cards,05ntv_rFxsk,0,10,train
